n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
198,2.15966e+006,678674,1.503e+006,1.99175e+006,2.001e+006,2.011e+006,4.013e+006
200,2.24397e+006,510901,998000,1.999e+006,2.0035e+006,2.50925e+006,3.706e+006
202,2.22738e+006,550984,998000,2.0025e+006,2.3435e+006,2.50925e+006,3e+006
204,2.11231e+006,488948,998000,1.99875e+006,2.003e+006,2.50325e+006,3.503e+006
206,2.19691e+006,519608,1e+006,1.99975e+006,2.006e+006,2.5055e+006,3.508e+006
208,2.28859e+006,508426,998000,2.0025e+006,2.276e+006,2.51e+006,3.104e+006
210,2.24684e+006,507064,1.001e+006,1.99975e+006,2.0935e+006,2.50825e+006,3.253e+006
212,2.36009e+006,476825,1.996e+006,2e+006,2.0265e+006,2.5085e+006,3.805e+006
214,2.75097e+006,614637,1.508e+006,2.50475e+006,2.7595e+006,3.01075e+006,4.512e+006
216,2.54953e+006,688216,1.51e+006,2.00675e+006,2.5165e+006,2.99925e+006,5.011e+006
218,2.51375e+006,489850,1.51e+006,2.011e+006,2.5115e+006,2.9975e+006,3.522e+006
220,2.63438e+006,638359,1.518e+006,2.005e+006,2.5165e+006,3.13575e+006,3.528e+006
222,2.52619e+006,551498,1.989e+006,2.002e+006,2.5135e+006,2.9975e+006,3.525e+006
224,2.72222e+006,501870,1.998e+006,2.3165e+006,2.998e+006,3.00825e+006,3.509e+006
226,2.71244e+006,478273,1.999e+006,2.503e+006,2.5095e+006,3.002e+006,3.516e+006
228,2.86062e+006,532818,1.997e+006,2.5045e+006,2.999e+006,3.03575e+006,3.982e+006
230,2.79094e+006,461175,1.997e+006,2.509e+006,2.9985e+006,3.0105e+006,3.523e+006
232,2.78822e+006,422779,1.999e+006,2.505e+006,2.999e+006,3.00525e+006,3.513e+006
234,2.87781e+006,453515,1.998e+006,2.51175e+006,2.998e+006,3.00225e+006,4.001e+006
236,2.77981e+006,574032,1.99e+006,2.244e+006,3e+006,3.13e+006,3.518e+006
238,2.97034e+006,641066,1.999e+006,2.5085e+006,3.0035e+006,3.507e+006,4.525e+006
240,3.03912e+006,419731,2.504e+006,2.523e+006,3.001e+006,3.507e+006,4.006e+006
242,2.92575e+006,495654,2e+006,2.50575e+006,3e+006,3.50425e+006,3.513e+006
244,3.01712e+006,499902,2.002e+006,2.8625e+006,2.999e+006,3.45675e+006,4.514e+006
246,3.06791e+006,488369,1.999e+006,2.51175e+006,3.002e+006,3.50825e+006,4.001e+006
248,3.35062e+006,483631,2.503e+006,3.00175e+006,3.507e+006,3.511e+006,4.516e+006
250,3.18297e+006,582037,1.986e+006,2.99475e+006,3.004e+006,3.50725e+006,5.042e+006
252,3.25409e+006,497539,2e+006,3e+006,3.5025e+006,3.50925e+006,4.186e+006
254,3.46691e+006,452553,2.507e+006,3.0045e+006,3.507e+006,3.51325e+006,4.512e+006
256,3.29097e+006,445671,2.001e+006,2.99975e+006,3.4755e+006,3.51025e+006,4.005e+006
258,3.62259e+006,550151,2.506e+006,3.3825e+006,3.511e+006,3.999e+006,5.015e+006
260,3.54025e+006,490160,2.502e+006,3.3985e+006,3.5085e+006,3.9995e+006,4.529e+006
262,3.5065e+006,555673,2.005e+006,3.37575e+006,3.507e+006,3.528e+006,5.52e+006
264,3.62422e+006,475585,3e+006,3.50375e+006,3.509e+006,3.63275e+006,5.021e+006
266,3.615e+006,416987,2.998e+006,3.5055e+006,3.509e+006,3.998e+006,4.512e+006
268,3.72266e+006,434470,2.998e+006,3.5065e+006,3.5105e+006,4.00525e+006,4.517e+006
270,3.85409e+006,710236,2.979e+006,3.50475e+006,3.5125e+006,4.511e+006,5.516e+006
272,3.68597e+006,485301,2.99e+006,3.50675e+006,3.5085e+006,4e+006,5.004e+006
274,3.9045e+006,411131,2.998e+006,3.511e+006,3.9985e+006,4.006e+006,4.513e+006
276,4.56416e+006,602834,3.503e+006,4.01125e+006,4.5175e+006,5.01775e+006,5.931e+006
278,4.02562e+006,478818,3.069e+006,3.513e+006,4.001e+006,4.509e+006,5.005e+006
280,4.19519e+006,730285,2.998e+006,3.8745e+006,4.0065e+006,4.51175e+006,6.51e+006
282,4.104e+006,429271,3.508e+006,3.88e+006,4.0115e+006,4.51025e+006,5.001e+006
284,4.3205e+006,536029,3.509e+006,3.99975e+006,4.5035e+006,4.5135e+006,5.514e+006
286,4.32978e+006,489037,3.505e+006,4.004e+006,4.502e+006,4.514e+006,5.35e+006
288,4.30609e+006,472052,3e+006,4.00125e+006,4.5055e+006,4.51425e+006,5.018e+006
290,4.10753e+006,455318,3.503e+006,3.875e+006,4.005e+006,4.50625e+006,5.016e+006
292,4.36353e+006,634658,2.998e+006,4.004e+006,4.509e+006,4.57625e+006,6.023e+006
294,4.41728e+006,498783,3.507e+006,4.00575e+006,4.51e+006,4.6385e+006,5.511e+006
296,4.46584e+006,503101,3.508e+006,4.004e+006,4.509e+006,4.54625e+006,5.533e+006
298,4.80003e+006,673536,3.508e+006,4.505e+006,4.5125e+006,5.007e+006,6.528e+006
300,4.85441e+006,600692,3.508e+006,4.5105e+006,5.0005e+006,5.50375e+006,6.006e+006
302,4.77281e+006,550722,3.505e+006,4.50575e+006,4.757e+006,5.0665e+006,5.516e+006
