n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
214,81637,11187.4,67735,73610,79536,86566,112479
216,90873.4,17314.3,70300,78202.2,86258,96624,137623
218,91986.2,14600.3,75945,80075.2,87643.5,101550,125719
220,86357.7,12842.5,68555,78843.2,83436.5,92698,140394
222,87255.8,11728,71531,81666.2,84514,89285.8,130645
224,91120.3,10192.6,78202,85257.2,88413.5,95649.2,124487
226,93368.7,11293.9,75636,86181.8,93237,97419.8,130748
228,97043.9,13553.7,76047,87977.5,96623.5,104758,138958
230,94943.3,10990.5,77073,84719.2,95649.5,103090,118740
232,97422.3,11338.9,81281,88542.2,96110,104706,120792
234,98272.2,11176.9,84155,88952.5,95135.5,103526,126232
236,102130,17750.2,84052,91492,95392,105296,154146
238,99802,12505,75842,90774,97342,107836,127668
240,103144,13032.4,89081,93929.5,98112,112120,141318
242,110177,19702.3,75637,95981.8,106528,127078,171182
244,109850,13704.5,89491,98856.2,108118,120023,143473
246,105777,11607.6,84154,97521.2,107708,112223,136700
248,107438,12267,88465,97624.2,106271,114584,134853
250,112172,15737.6,90928,100498,110119,121382,162767
252,114150,23098.3,88978,101884,107143,115225,189860
254,116848,16255,95751,103833,113916,128490,153735
256,120510,21065.1,93288,106604,113146,128182,182575
258,120327,17321.7,95751,105655,117919,130286,169130
260,111386,11198.9,94931,103423,107708,120408,144910
262,115738,13978,94110,107221,112634,121742,162459
264,113272,12084.1,95854,105604,114173,118663,157122
266,119125,16987.3,100267,108374,114327,124410,171182
268,123644,19000.3,91030,110196,119715,135828,166359
270,121043,16500,99754,107579,116534,128464,160715
272,128589,22534.3,96572,113300,127310,137598,194684
274,123143,14953.9,100062,111940,118688,129618,155172
276,121177,16889.2,97394,110581,119868,129003,180317
278,116755,11685.9,98009,108632,115456,124924,140600
280,119715,15431.1,95341,110940,116174,128130,156096
282,118740,18660.8,98625,105680,115918,123538,192837
284,120921,14380.9,96060,111736,118740,129208,154146
286,121694,16514.5,101396,108940,120126,129157,169438
288,120696,15140.9,93699,110274,115456,127874,159073
290,123907,19502.3,103859,108939,116482,136084,171901
292,118458,13093.9,100062,109298,113814,122435,148605
294,136187,47959.3,98933,117894,124128,140626,384237
296,131568,26379.3,99856,115046,124846,138957,225985
298,130449,28400.4,102422,113249,123358,142011,250411
300,126864,18911.7,102730,114404,120588,132697,183806
302,123054,15173.6,100370,112967,119099,132030,169745
304,129118,19511.8,100883,115816,124692,133057,175595
306,127528,20396.2,98523,114020,123358,137880,187501
308,125696,33318,100165,104988,114378,124667,232349
310,125212,14237.3,101909,115327,122588,133902,154762
312,124112,12676.1,103243,115712,121973,129208,163075
314,130725,33212.7,98728,115636,122640,133288,293104
316,123506,14804.2,100883,113480,119407,132954,156507
318,128804,18709.5,100678,116585,125514,137495,200124
320,131735,23460.8,106322,119972,125206,133287,196634
322,127014,17877.7,104680,114301,123204,133775,177546
324,128846,17884.7,103141,116250,125718,138752,180316
326,126880,13727.3,104372,116560,124641,135392,168412
328,131921,12969.7,112479,121357,130338,137161,159996
330,128653,17330,104577,116200,124693,139624,168925
332,130545,12765.2,109503,120126,131312,138419,155788
334,128195,16522.3,107040,118304,123256,131286,175186
336,125125,13265.8,107862,115123,122691,129310,158560
338,129596,15100.5,104064,117098,127772,135828,175800
340,131960,15839.8,114121,120228,129054,138394,182984
342,138614,22567.6,100473,122461,135827,147656,199919
344,134067,16593.4,105912,120844,133057,142524,170259
346,134291,16587.2,109401,122230,131055,141960,190990
348,136825,23873.7,101909,121742,130644,147834,228449
350,131655,22194.3,104064,115764,125360,141396,198584
352,133807,14482.3,113300,123409,128798,143730,164409
354,138130,25593.1,109914,123358,130132,143499,241380
