n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
276,3.7565e+006,440638,2.998e+006,3.5085e+006,3.76e+006,4.00525e+006,4.515e+006
278,3.83409e+006,520628,2.507e+006,3.50575e+006,3.999e+006,4.01275e+006,4.545e+006
280,3.85506e+006,502433,2.999e+006,3.508e+006,3.998e+006,4.07875e+006,5.015e+006
282,3.96878e+006,507674,2.998e+006,3.51e+006,4.0005e+006,4.506e+006,5.081e+006
284,4.14794e+006,568889,3.001e+006,3.8645e+006,4.02e+006,4.51225e+006,5.518e+006
286,4.00088e+006,503826,2.999e+006,3.51875e+006,4.006e+006,4.51525e+006,5.013e+006
288,4.02128e+006,504579,2.998e+006,3.51075e+006,3.9995e+006,4.509e+006,5.023e+006
290,4.18238e+006,486342,3e+006,3.997e+006,4.089e+006,4.508e+006,5.016e+006
292,4.12906e+006,458088,2.999e+006,3.9945e+006,4.008e+006,4.50725e+006,5.012e+006
294,4.38197e+006,627044,2.998e+006,4.001e+006,4.5065e+006,4.99725e+006,5.509e+006
296,4.43191e+006,585868,3.002e+006,4.00925e+006,4.507e+006,4.642e+006,5.518e+006
298,4.34319e+006,488618,3.503e+006,4.00375e+006,4.502e+006,4.515e+006,5.508e+006
300,4.78281e+006,1.24687e+006,3.502e+006,4.00275e+006,4.5075e+006,5.0035e+006,1.0039e+007
302,4.57584e+006,485894,3.999e+006,4.009e+006,4.509e+006,5.01025e+006,5.515e+006
304,4.62419e+006,435577,3.998e+006,4.5055e+006,4.509e+006,5.005e+006,5.512e+006
306,4.65331e+006,501968,3.511e+006,4.505e+006,4.522e+006,5.00625e+006,5.514e+006
308,4.80847e+006,492722,3.997e+006,4.50775e+006,5.0005e+006,5.019e+006,6.008e+006
310,4.82653e+006,558196,3.507e+006,4.50625e+006,5e+006,5.07625e+006,6.029e+006
312,4.88284e+006,567348,3.997e+006,4.5075e+006,4.9985e+006,5.01775e+006,6.515e+006
314,5.09922e+006,629230,3.505e+006,4.8835e+006,5.017e+006,5.5115e+006,6.511e+006
