n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
214,229757,19770.1,222890,223097,223558,224250,320072
216,234420,18335.1,225970,226277,226585,236514,303859
218,232566,3947.44,230177,230664,230998,231536,242696
220,238874,11598.8,234282,234487,234795,235667,296265
222,244425,14177.2,238489,239002,239258,241055,314941
224,265632,55173.2,242799,243415,244338,254036,444550
226,263410,39692.9,247110,247725,248546,258705,442806
228,275157,44930.1,251727,252138,254600,265273,431313
230,274753,26368.4,244647,257140,265786,287285,359581
232,375503,34040,343162,360196,362557,378335,519668
234,282103,43691.1,253472,265658,266812,277767,488575
236,342001,89752.5,280358,281051,283027,469025,492884
238,386637,119291,275432,276279,313761,481134,651330
240,306658,29942.2,280050,280769,297650,328076,400116
242,319302,64025.2,271943,285900,297290,322510,598583
244,312594,57690.2,289286,289876,291031,302293,541732
246,309371,32382,294109,294417,295444,306886,439317
248,309592,26599.9,298625,299318,300420,306321,441985
250,327974,51036.2,303756,304371,305860,322074,517205
252,316577,15116.1,308374,308682,309348,317481,373332
254,323484,14629.6,313197,314377,315814,324998,377232
256,329331,24051.3,318327,318712,319816,328795,437060
258,344178,34635.2,308579,323562,330847,351397,443114
260,361063,62382.7,313402,328615,332387,366380,598276
262,422019,200138,333619,334927,340853,426515,1.39861e+06
264,501530,166075,338646,350781,454196,591400,934459
266,390508,75807.5,343675,345496,358452,402554,729526
268,372322,52575,349011,349986,353424,362583,603919
270,368544,43613.4,353937,354630,355374,357195,549941
272,374939,37491.5,359067,360248,361736,372024,538037
274,389180,31317.5,364302,367149,383902,397525,505404
276,393798,16027.3,378566,380772,390726,396806,451632
278,443149,99723,385031,394420,397242,413866,683348
280,407036,13955.3,389957,399860,402836,411815,456249
282,425094,54336.5,385749,395806,406170,431620,659540
284,417946,18055.7,400731,403144,412585,424309,478313
286,434423,52744.3,379181,398576,418023,449759,616747
288,421599,39406.6,383799,393291,409608,438137,554457
290,441789,80194.6,407607,408710,409762,422359,757029
292,422676,24921.9,413354,413841,414996,423154,553738
294,424854,7321.49,419101,419614,420486,430594,444242
296,438041,28013.7,424745,425642,430543,436444,561640
298,437505,9074.95,430492,431235,432596,442549,470001
300,467457,47233.8,416638,436649,448706,490422,588014
302,452965,13271,442293,443114,445064,459225,486112
304,467332,35119.2,427823,449040,455069,468846,611000
306,464860,15306.7,454094,455274,457891,467872,527673
308,487314,53097.1,459635,461560,465537,481827,690941
310,486003,40169.1,466203,467614,470718,480391,642197
312,488340,33899.9,471847,472976,480570,489011,647944
314,497560,51151.9,478107,478825,480621,493321,763699
316,518588,58556.7,461585,483572,488574,554405,708386
318,518972,61205.8,467435,475901,496989,538114,704384
320,508742,22041.9,473797,496810,502992,510022,587295
322,528625,63946.6,502326,503403,504788,517795,783607
324,530389,38554.8,485496,508867,515564,533420,660053
326,544810,50179.2,491243,514075,529007,566591,722036
328,552991,84979.6,521208,522337,524646,534164,921426
330,540256,23163,503660,528570,536448,541886,635731
332,552911,30192.9,511253,534754,543066,553866,643223
334,551016,17333.3,539987,541142,542553,555535,605972
336,590454,99892.7,521721,548069,558407,575827,1.07895e+06
338,584964,56546.4,527878,535703,578675,616927,771190
340,571524,30168.4,534446,559792,565180,574801,677909
342,587093,45637.7,566258,568182,575186,580753,817985
344,610522,26760.1,573031,593247,606023,627445,692481
346,610356,48811.9,580009,582857,593709,613719,834097
348,605016,42922,559382,586474,591144,599558,764828
350,653578,135003,587808,595068,605664,649996,1.30553e+06
352,640853,50017.8,599917,610282,615618,671059,776937
354,649614,82066.8,606279,610666,616029,637118,1.00239e+06
356,658632,56590.6,614181,617953,627984,693687,852876
358,677081,93242.8,620339,623879,633064,684451,990079
