n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
228,1.23743e+06,21025.2,1.19542e+06,1.22462e+06,1.23914e+06,1.25051e+06,1.2806e+06
230,1.26491e+06,52185.8,1.14637e+06,1.24566e+06,1.26034e+06,1.27786e+06,1.48617e+06
232,1.18989e+06,73045.2,1.15058e+06,1.16356e+06,1.16838e+06,1.18011e+06,1.53882e+06
234,1.24807e+06,121753,1.14924e+06,1.18041e+06,1.20553e+06,1.26496e+06,1.75988e+06
236,1.2959e+06,62586,1.19573e+06,1.25531e+06,1.29215e+06,1.33569e+06,1.49448e+06
238,1.36743e+06,43864.4,1.32987e+06,1.34147e+06,1.36071e+06,1.37313e+06,1.56786e+06
240,1.36994e+06,70747.9,1.25474e+06,1.34642e+06,1.38067e+06,1.39819e+06,1.60666e+06
242,1.38756e+06,115810,1.25638e+06,1.29066e+06,1.34814e+06,1.43042e+06,1.67347e+06
244,1.36228e+06,154336,1.27527e+06,1.29018e+06,1.29928e+06,1.35681e+06,2.07814e+06
246,1.41372e+06,64755.1,1.29672e+06,1.36094e+06,1.41936e+06,1.46513e+06,1.51244e+06
248,1.47789e+06,95155.6,1.32238e+06,1.42944e+06,1.47848e+06,1.52566e+06,1.67398e+06
250,1.46494e+06,105647,1.32669e+06,1.38352e+06,1.46134e+06,1.52515e+06,1.79437e+06
252,1.5055e+06,110243,1.33952e+06,1.45744e+06,1.49941e+06,1.53623e+06,1.89936e+06
254,1.55935e+06,42468.8,1.49869e+06,1.53205e+06,1.55191e+06,1.57133e+06,1.69215e+06
256,1.59393e+06,71716.3,1.53348e+06,1.56186e+06,1.57736e+06,1.60148e+06,1.94e+06
258,1.60368e+06,32772.5,1.53543e+06,1.59049e+06,1.60404e+06,1.61895e+06,1.67162e+06
260,1.61654e+06,119893,1.45928e+06,1.54606e+06,1.6006e+06,1.64969e+06,2.00999e+06
262,1.56183e+06,98132.5,1.47015e+06,1.48738e+06,1.51711e+06,1.6486e+06,1.84402e+06
264,2.96282e+06,2.03818e+06,1.4994e+06,1.64854e+06,2.57833e+06,3.02448e+06,1.23134e+07
266,2.26465e+06,778640,1.62481e+06,1.73998e+06,1.89339e+06,2.64168e+06,5.31953e+06
268,1.7653e+06,393511,1.54763e+06,1.56718e+06,1.59659e+06,1.68264e+06,2.99469e+06
270,1.63005e+06,105177,1.57144e+06,1.58674e+06,1.60233e+06,1.62117e+06,2.09854e+06
272,1.66339e+06,71773.7,1.54076e+06,1.61244e+06,1.64785e+06,1.68995e+06,1.83304e+06
274,1.80423e+06,37926.7,1.72836e+06,1.77632e+06,1.80241e+06,1.82714e+06,1.90437e+06
276,1.71283e+06,132605,1.64359e+06,1.65565e+06,1.66853e+06,1.68464e+06,2.35296e+06
278,1.75695e+06,144133,1.58704e+06,1.67528e+06,1.71512e+06,1.79027e+06,2.37297e+06
280,1.90287e+06,135796,1.6946e+06,1.86458e+06,1.88497e+06,1.924e+06,2.58449e+06
282,2.01478e+06,464061,1.63743e+06,1.7406e+06,1.86527e+06,1.96851e+06,3.51574e+06
284,2.55452e+06,812283,1.74427e+06,1.86322e+06,2.40458e+06,3.03338e+06,5.25498e+06
