n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
486,104810,8775.38,96392,99494.5,101314,105005,136999
488,103205,4557.32,98032,100596,102442,103852,117926
490,103500,3963.72,98238,100904,102852,104852,118337
492,105268,5598.97,100084,102494,103878,105544,126438
494,105070,4031.84,99160,102340,103929,105826,115978
496,106313,9770.72,95777,99673.8,104083,106287,140178
498,108297,8340.92,97110,102391,107672,110825,141922
500,108486,6209.41,100083,105698,106646,110082,135257
502,109870,4384.23,103571,107980,109108,110569,125822
504,111431,12064.4,99673,104031,107980,112312,152791
506,112838,6223.37,104800,109235,110440,113388,128079
508,110441,3738.74,104493,107723,110287,111518,120900
510,112222,3538.69,107672,110338,111671,113106,127053
512,118852,20919.6,107057,110723,112388,115644,216676
